ticker,tier,dead,date,close_unadj,mcap,n,implied_spot,totvol,totoi,n_oi_pos,zero_bid,med_spread,earn_n,earn_covers_date
ASPX,cap500,True,2014-07-03,25.22,595.4,0,,,,,,,0,
ATAC1,cap500,True,2008-02-01,25.75,569.6,0,,,,,,,0,
BECN,cap500,True,2011-04-26,21.93,1004.5,68,21.85,11.0,371.0,15.0,0.3235294117647059,0.21086059066370277,0,
BFYT,cap500,True,2018-06-21,33.15,555.5,0,,,,,,,0,
CGRB,cap500,True,2009-04-06,33.18,689.3,38,33.125,90.0,3086.0,30.0,0.07894736842105263,0.155688622754491,0,
CNR2,cap500,True,2020-11-02,8.09,1012.0,0,,,,,,,0,
CSGS,cap500,True,2010-02-24,19.56,697.3,36,19.7,2225.0,1213.0,18.0,0.1388888888888889,0.2564102564102565,0,
EMS,cap500,True,2008-01-31,30.75,1278.3,0,,,,,,,0,
ENFN,cap500,True,2024-12-04,10.11,1299.9,56,10.2,1.0,1137.0,12.0,0.48214285714285715,0.23899371069182393,17,True
EVOP,cap500,True,2020-04-07,13.67,1122.0,90,13.7,4.0,533.0,19.0,0.4777777777777778,0.6823529411764707,0,
EVRI,cap500,True,2020-08-10,7.12,608.4,60,7.200000000000001,4076.0,55444.0,53.0,0.16666666666666666,0.12183055040197902,0,
FSYS,cap500,True,2010-04-01,31.9,561.8,152,31.0,2189.0,61181.0,141.0,0.16447368421052633,0.0893470790378006,0,
FTRCQ,cap500,True,2013-07-09,3.99,3981.0,0,,,,,,,0,
GFIG,cap500,True,2015-01-08,5.43,692.3,84,6.275,0.0,1637.0,12.0,0.6904761904761905,1.3714285714285717,0,
HABT,cap500,True,2015-03-23,30.27,787.1,0,,,,,,,0,
HCT,cap500,True,2014-10-14,10.98,1859.1,48,10.19,0.0,125.0,5.0,0.5,0.3532601996795267,0,
HIFR,cap500,True,2016-04-01,16.81,732.4,80,16.8,75.0,9150.0,29.0,0.275,0.1924263674614305,0,
HITT,cap500,True,2008-04-18,42.38,1318.1,72,42.45,113.0,3215.0,52.0,0.09722222222222222,0.09302325581395357,0,
HK1,cap500,True,2008-10-15,9.91,2202.3,0,,,,,,,0,
HTCH,cap500,True,2008-01-24,23.17,610.7,68,23.325000000000003,164.0,7783.0,47.0,0.07352941176470588,0.10526315789473682,0,
JNS,cap500,True,2012-10-10,9.1,1704.7,128,9.05,6.0,12659.0,29.0,0.3984375,0.18604651162790706,0,
KSWS,cap500,True,2008-01-02,17.75,616.9,86,17.85,13.0,3842.0,51.0,0.10465116279069768,0.1694915254237288,0,
LWSN,cap500,True,2009-09-28,6.4,1033.7,24,6.35,11.0,2083.0,10.0,0.2916666666666667,0.1694915254237288,0,
MAKO1,cap500,True,2011-06-15,28.49,1166.9,0,,,,,,,0,
MONT,cap500,True,2014-01-22,23.96,634.4,0,,,,,,,0,
NEBLQ,cap500,True,2017-04-28,4.8,1174.4,0,,,,,,,0,
PNG,cap500,True,2013-05-31,20.17,1219.9,64,19.9,6.0,1289.0,17.0,0.359375,0.3396226415094339,0,
PNX,cap500,True,2008-06-10,9.89,1131.4,46,9.799999999999999,10.0,656.0,23.0,0.32608695652173914,0.25149700598802405,0,
PQUEQ,cap500,True,2011-04-06,9.31,588.5,0,,,,,,,0,
PSSI,cap500,True,2010-08-31,18.36,1036.5,52,18.5,2.0,2790.0,20.0,0.28846153846153844,0.21359223300970884,0,
PYCR,cap500,True,2024-06-18,11.15,1987.0,92,10.6,24.0,3339.0,36.0,0.532608695652174,0.205761316872428,0,
RNET,cap500,True,2015-05-15,35.52,627.7,80,35.9,2.0,343.0,29.0,0.275,0.37966537966537967,0,
SCMP,cap500,True,2015-07-14,18.42,831.8,90,18.474999999999998,166.0,2700.0,43.0,0.2777777777777778,0.09090909090909079,0,
SFSF,cap500,True,2010-03-23,19.66,1415.3,62,19.65,45.0,8370.0,26.0,0.1935483870967742,0.1271766169154228,0,
SIENQ,cap500,True,2018-08-31,25.12,714.1,0,,,,,,,0,
SIMG,cap500,True,2010-12-15,7.13,553.1,42,7.175000000000001,199.0,13211.0,25.0,0.3333333333333333,0.08549506759225423,0,
SNTS,cap500,True,2012-10-23,9.18,577.9,38,9.2,17.0,1158.0,16.0,0.18421052631578946,0.19178082191780826,0,
SQBK,cap500,True,2015-07-06,27.3,812.8,0,,,,,,,0,
SYUT,cap500,True,2011-05-12,11.29,646.9,0,,,,,,,0,
TGI,cap500,True,2020-03-03,17.9,928.1,84,17.950000000000003,12.0,4786.0,48.0,0.09523809523809523,0.13118279569892471,0,
TGNA,cap500,True,2009-06-24,3.53,820.5,0,,,,,,,0,
TSRX,cap500,True,2013-08-08,13.76,664.2,90,13.725000000000001,694.0,27955.0,63.0,0.4222222222222222,0.08878048780487807,0,
VAQC,cap500,True,2023-01-11,10.13,569.8,0,,,,,,,0,
WBSN,cap500,True,2011-03-28,22.69,921.6,50,22.725,59.0,9591.0,28.0,0.14,0.25714285714285723,0,
WFTIQ,cap500,True,2015-12-11,8.85,6894.5,0,,,,,,,0,
XEC,cap500,True,2009-03-03,17.54,1462.0,158,17.55,272.0,35454.0,114.0,0.24050632911392406,0.05798319327731098,0,
